駅ID	駅名(漢字)	駅格	略称	駅名(ひらがな)	駅名(カタカナ)	駅名(ローマ字)	駅名(簡体字)	駅名(繁体字)	駅名(韓国語)	住所	駅番号	自社	連動駅	線路数
0150	御影	停車場	御　影	みかげ	ミカゲ	Mikage	御影	禦影	미카게	甲南市御影本町４丁目	S25	TRUE	TRUE	1番線,2番線,3番線,4番線,5番線,6番線,O番線,K番線
0151	石屋川	停車場	石屋川	いしやがわ	イシヤガワ	Ishiyagawa	石屋川	石屋川	이시야가와	甲南市御影塚町２丁目	S26	TRUE	TRUE	1番線,2番線,3番線,4番線,入出庫線
0155	新在家	停車場	新在家	しんざいけ	シンザイケ	Shinzaike	新在家	新在家	신자이케	神戸市灘区新在家北町１丁目	S27	TRUE	TRUE	1番線,2番線,入出庫線
0156	大石	停車場	大　石	おおいし	オオイシ	Oishi	大石	大石	오이시	神戸市灘区船寺通１丁目	S28	TRUE	TRUE	1番線,2番線,3番線,4番線,O番線,K番線
0157	西灘	停留場	西　灘	にしなだ	ニシナダ	Nishinada	西滩	西灘	니시나다	神戸市灘区都通５丁目	S29	TRUE	FALSE	1番線,2番線
0158	岩屋	停留場	岩　屋	いわや	イワヤ	Iwaya	岩屋	岩屋	이와야	神戸市灘区岩屋北町４丁目	S30	TRUE	FALSE	1番線,2番線
0159	春日野道	停留場	春日野	かすがのみち	カスガノミチ	Kasuganomichi	春日野道	春日野道	가스가노미지	神戸市葺合区吾妻通１丁目	S31	TRUE	FALSE	1番線,2番線
0160	三宮	停車場	三　宮	さんのみや	サンノミヤ	Sannomiya	三宫	三宮	산노미야	神戸市葺合区小野柄通８丁目	S32	TRUE	TRUE	1番線,2番線,3番線,4番線,5番線,6番線,O番線,NO番線,M番線,NM番線
0161	元町	停車場	元　町	もとまち	モトマチ	Motomachi	元町	元町	모토마지	神戸市神戸区元町通２丁目	S33	TRUE	TRUE	1番線,2番線,3番線,4番線
0165	花隈	停車場	花　隈	はなくま	ハナクマ	Hanakuma	花隈	花隈	하나쿠마	神戸市神戸区元町高架通２丁目	S34	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線,引上6番線
0166	大倉山	停留場	大倉山	おおくらやま	オオクラヤマ	Okurayama	大仓山	大倉山	오쿠라야마	神戸市湊東区楠町２丁目	S35	TRUE	FALSE	1番線,2番線
0170	湊川	停車場	湊　川	みなとがわ	ミナトガワ	Minatogawa	凑川	湊川	미나토가와	神戸市湊東区荒田町１丁目	S36	TRUE	TRUE	1番線,2番線,3番線,4番線,S番線
0171	高洲	停車場	高　洲	たかす	タカス	Takasu	高洲	高洲	다카스	尼崎市西高洲町	S85	TRUE	TRUE	1番線,2番線
0172	中浜	停留場	中　浜	なかはま	ナカハマ	Nakahama	中滨	中濱	나카하마	尼崎市中浜町	S86	TRUE	FALSE	1番線,2番線
0173	大浜	停留場	大　浜	おおはま	オオハマ	Ohama	大滨	大濱	오하마	尼崎市大浜町１丁目	S87	TRUE	FALSE	1番線,2番線
0174	丸島	停留場	丸　島	まるしま	マルシマ	Marushima	丸岛	丸島	마루시마	尼崎市丸島	S88	TRUE	FALSE	1番線,2番線
0175	洲先	停車場	洲　先	すざき	スザキ	Suzaki	洲先	洲先	스자키	西宮市上田東町	M14,S89	TRUE	TRUE	1番線,2番線,3番線,4番線
0176	上田	停留場	上　田	うえだ	ウエダ	Ueda	上田	上田	우에다	西宮市上田中町	S90	TRUE	FALSE	1番線,2番線
0177	競馬場前	停留場	競馬場	けいばじょうまえ	ケイバジョウマエ	Keibajo-mae	竞马场前	競馬場前	게바조마에	西宮市枝川町	S91	TRUE	FALSE	1番線,2番線
0180	浜滄枝園	停車場	浜滄枝	はまそうしえん	ハマソウシエン	Hama-Soshien	滨沧枝园	濱滄枝園	하마소시엔	西宮市浜滄枝園１丁目	S92	TRUE	TRUE	1番線,2番線
0181	中津浜	停留場	中津浜	なかつはま	ナカツハマ	Nakatsu-hama	中津滨	中津濱	나카쑤하마	西宮市浜滄枝園３丁目	S93	TRUE	FALSE	1番線,2番線
0182	今津浜	停留場	今津浜	いまづはま	イマヅハマ	Imazu-hama	今津滨	今津濱	이마즈하마	西宮市今津西浜町	S94	TRUE	FALSE	1番線,2番線
0184	東鳴尾	停留場	東鳴尾	ひがしなるお	ヒガシナルオ	Higashi-Naruo	东鸣尾	東鳴尾	히가시나루오	西宮市東鳴尾町１丁目	M13	TRUE	FALSE	1番線,2番線
0185	新高須	停車場	新高須	しんたかす	シンタカス	Shin-Takasu	新高须	新高須	신타카스	西宮市鳴尾浜１丁目	M15	TRUE	TRUE	1番線,2番線
0186	鳴尾浜	停留場	鳴尾浜	なるおはま	ナルオハマ	Naruo-hama	鸣尾滨	鳴尾濱	나루오하마	西宮市鳴尾浜３丁目	M16	TRUE	FALSE	1番線,2番線
0187	臨海北口	停留場	臨海北	りんかいきたぐち	リンカイキタグチ	Rinkai-Kitaguchi	临海北口	臨海北口	린카이키타구지	西宮市武庫島東町６丁目	M17	TRUE	FALSE	1番線,2番線
0188	臨海東	停留場	臨海東	りんかいひがし	リンカイヒガシ	Rinkai-Higashi	临海东	臨海東	린카이히가시	西宮市武庫島東町１丁目	M18	TRUE	FALSE	1番線,2番線
0189	臨海中央	停留場	臨海中	りんかいちゅうおう	リンカイチュウオウ	Rinkai-Chuo	临海中央	臨海中央	린카이츄오	西宮市武庫島中町４丁目	M19	TRUE	FALSE	1番線,2番線
0190	臨海西	停車場	臨海西	りんかいにし	リンカイニシ	Rinkai-Nishi	临海西	臨海西	린카이니시	西宮市武庫島西町３丁目	M20	TRUE	TRUE	1番線,2番線,引上1番線,引上2番線
0191	野里	停留場	野　里	のざと	ノザト	Nozato	野里	野里	노자토	大阪市西淀川区野里２丁目	S81	TRUE	FALSE	1番線,2番線
0192	塚本	停留場	塚　本	つかもと	ツカモト	Tsukamoto	冢本	塚本	쑤카모토	大阪市淀川区塚本４丁目	S82	TRUE	FALSE	1番線,2番線
0193	元今里	停留場	元今里	もといまざと	モトイマザト	Moto-Imazato	元今里	元今里	모토이마자토	大阪市淀川区十三元今里２丁目	S83	TRUE	FALSE	1番線,2番線
0195	十三	停車場	十　三	じゅうそう	ジュウソウ	Juso	十三	十三	주소	大阪市淀川区十三本町３丁目	S84	TRUE	TRUE	1番線,2番線
0198	蓬川	信号場	蓬　川	よもがわ	ヨモガワ	Yomogawa	蓬川	蓬川	요모가와		-	TRUE	TRUE	1番線,2番線,3番線,4番線
0199	新武庫川(信)	信号場	新武庫	しんむこがわ	シンムコガワ	Shin-Mukogawa	新武库川	新武庫川	신무코가와		-	TRUE	TRUE	1番線,2番線,3番線,4番線
0201	会下山	停留場	会下山	えげやま	エゲヤマ	Egeyama	会下山	會下山	에게야마	神戸市湊西区会下山町３丁目	S37	TRUE	FALSE	1番線,2番線
0202	長田	停車場	長　田	ながた	ナガタ	Nagata	长田	長田	나가타	神戸市林田区長田町４丁目	S38	TRUE	TRUE	1番線,2番線,引上3番線,湊川方4番線
0203	板宿	停留場	板　宿	いたやど	イタヤド	Itayado	板宿	板宿	이타야도	神戸市林田区平和台町２丁目	S39	TRUE	FALSE	1番線,2番線
0210	妙法寺	停車場	妙法寺	みょうほうじ	ミョウホウジ	Myohoji	妙法寺	妙法寺	묘호지	神戸市須磨区妙法寺本町	S40,F40	TRUE	TRUE	1番線,2番線,3番線,4番線,湊川方5番線
0211	昴麓園	停留場	昴麓園	みょうろくえん	ミョウロクエン	Myorokuen	昴麓园	昴麓園	묘로쿠엔	神戸市垂水区昴麓園１丁目	S41	TRUE	FALSE	1番線,2番線
0212	奥畑	停留場	奥　畑	おくはた	オクハタ	Okuhata	奥畑	奧畑	오쿠하타	神戸市垂水区奥畑２丁目	S42	TRUE	FALSE	1番線,2番線
0213	玉子温泉	停車場	玉子温	たまごおんせん	タマゴオンセン	Tamago-onsen	玉子温泉	玉子溫泉	다마곤센	神戸市垂水区中山本町１丁目	S43	TRUE	TRUE	1番線,2番線,3番線,4番線,湊川方5番線,明石方6番線
0214	陣屋	停留場	陣　屋	じんや	ジンヤ	Jinya	阵屋	陣屋	진야	神戸市垂水区陣屋北町１丁目	S44	TRUE	FALSE	1番線,2番線
0215	大沢	停留場	大　沢	おおさわ	オオサワ	Osawa	大泽	大澤	오사와	神戸市垂水区大沢筋３丁目	S45	TRUE	FALSE	1番線,2番線
0220	多聞	停車場	多　聞	たもん	タモン	Tamon	多闻	多聞	다몬	神戸市垂水区清水が丘３丁目	S46	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線,引上6番線,湊川方7番線,明石方8番線,出庫線,入庫線
0221	明舞	停留場	明　舞	めいまい	メイマイ	Meimai	明舞	明舞	메마이	明石市松が丘４丁目	S47	TRUE	FALSE	1番線,2番線
0222	大蔵谷	停留場	大蔵谷	おおくらだに	オオクラダニ	Okuradani	大藏谷	大藏谷	오쿠라다니	明石市東野町	S48	TRUE	FALSE	1番線,2番線
0230	明石	停車場	明　石	あかし	アカシ	Akashi	明石	明石	아카시	明石市大明石町１丁目	S49	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線,引上6番線
0240	西新町	停車場	西新町	にししんまち	ニシシンマチ	Nishi-shimmachi	西新町	西新町	니시신마지	明石市西新町２丁目	S50,F24	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線,入出庫線
0241	林崎	停車場	林　崎	はやしさき	ハヤシサキ	Hayashisaki	林崎	林崎	하야시사키	明石市南貴崎町	S51	TRUE	TRUE	1番線,2番線
0245	藤江	停車場	藤　江	ふじえ	フジエ	Fujie	藤江	藤江	후지에	明石市藤江	S52	TRUE	TRUE	1番線,2番線,3番線,4番線,明石方5番線,姫路方6番線
0246	中八木	停留場	中八木	なかやぎ	ナカヤギ	Naka-Yagi	中八木	中八木	나카야기	明石市大久保町八木	S53	TRUE	FALSE	1番線,2番線
0247	江井ヶ島	停留場	江井島	えいがしま	エイガシマ	Eigashima	江井ヶ岛	江井ヶ島	에가시마	明石市大久保町江井島	S54	TRUE	FALSE	1番線,2番線
0248	西江井ヶ島	停車場	西江井	にしえいがしま	ニシエイガシマ	Nishi-Eigashima	西江井ヶ岛	西江井ヶ島	니시에가시마	明石市大久保町西島	S55	TRUE	TRUE	1番線,2番線,3番線,引上4番線,明石方5番線
0249	魚住	停留場	魚　住	うおずみ	ウオズミ	Uozumi	鱼住	魚住	우오즈미	明石市魚住町中尾	S56	TRUE	FALSE	1番線,2番線
0250	東二見	停車場	東二見	ひがしふたみ	ヒガシフタミ	Higashi-Futami	东二见	東二見	히가시후타미	明石市二見町東二見	S57	TRUE	TRUE	0番線,1番線,2番線,3番線,4番線,引上5番線,姫路方6番線,入庫線,出庫線
0251	西二見	停留場	西二見	にしふたみ	ニシフタミ	Nishi-Futami	西二见	西二見	니시후타미	明石市二見町西二見駅前４丁目	S58	TRUE	FALSE	1番線,2番線
0252	阿閇	停留場	阿　閇	あえ	アエ	Ae	阿閇	阿閇	아에	加古郡阿閇町東本荘１丁目	S59	TRUE	FALSE	1番線,2番線
0253	別府	停留場	別　府	べふ	ベフ	Befu	别府	別府	베후	加古川市別府町朝日町	S60	TRUE	FALSE	1番線,2番線
0254	浜の宮	停車場	浜の宮	はまのみや	ハマノミヤ	Hamanomiya	滨の宫	濱の宮	하마노미야	加古川市尾上町口里	S61	TRUE	TRUE	1番線,2番線,姫路方3番線
0255	尾上の松	停留場	尾　上	おのえのまつ	オノエノマツ	Onoenomatsu	尾上の松	尾上の松	오노에노마쑤	加古川市尾上町旭１丁目	S62	TRUE	FALSE	1番線,2番線
0260	高砂	停車場	高　砂	たかさご	タカサゴ	Takasago	高砂	高砂	다카사고	高砂市高砂町浜田町２丁目	S63	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線,明石方6番線,姫路方7番線
0261	荒井	停車場	荒　井	あらい	アライ	Arai	荒井	荒井	아라이	高砂市荒井町扇町	S64	TRUE	TRUE	1番線,2番線,引上3番線
0262	伊保	停留場	伊　保	いほ	イホ	Iho	伊保	伊保	이호	高砂市伊保港町１丁目	S65	TRUE	FALSE	1番線,2番線
0263	曽根	停留場	曽　根	そね	ソネ	Sone	曾根	曾根	소네	高砂市曽根町	S66	TRUE	FALSE	1番線,2番線
0270	大塩	停車場	大　塩	おおしお	オオシオ	Oshio	大盐	大鹽	오시오	姫路市飾磨区大塩町汐咲１丁目	S67	TRUE	TRUE	1番線,2番線,3番線,4番線,5番線,引上 6番線,明石方7番線,入出庫線
0271	的形	停留場	的　形	まとがた	マトガタ	Matogata	的形	的形	마토가타	姫路市飾磨区的形町的形	S68	TRUE	FALSE	1番線,2番線
0272	八家	停留場	八　家	やか	ヤカ	Yaka	八家	八家	야카	姫路市飾磨区八家	S69	TRUE	FALSE	1番線,2番線,引上3番線,引上4番線,姫路方5番線
0273	白浜の宮	停留場	白浜宮	しらはまのみや	シラハマノミヤ	Shirahamanomiya	白滨の宫	白濱の宮	시라하마노미야	姫路市飾磨区白浜町	S70	TRUE	FALSE	1番線,2番線
0274	妻鹿	停留場	妻　鹿	めが	メガ	Mega	妻鹿	妻鹿	메가	姫路市飾磨区妻鹿	S71	TRUE	FALSE	1番線,2番線
0280	飾磨	停車場	飾　磨	しかま	シカマ	Shikama	饰磨	飾磨	시카마	姫路市飾磨区玉地	S72,K72	TRUE	TRUE	1番線,2番線,3番線,4番線,明石方5番線,入庫線,出庫線
0281	亀山	停留場	亀　山	かめやま	カメヤマ	Kameyama	龟山	龜山	가메야마	姫路市中央区亀山	S73	TRUE	FALSE	1番線,2番線
0282	手柄	停留場	手　柄	てがら	テガラ	Tegara	手柄	手柄	데가라	姫路市中央区東延末５丁目	S74	TRUE	FALSE	1番線,2番線
0290	姫路	停車場	姫　路	ひめじ	ヒメジ	Himeji	姫路	姫路	히메지	姫路市中央区南町	S75,T93	TRUE	TRUE	1番線,2番線,3番線,4番線,5番線,引上6番線,明石方7番線
0301	車	停留場	　車　	くるま	クルマ	Kuruma	车	車	구루마	神戸市北須磨区車町１丁目	F41	TRUE	FALSE	1番線,2番線
0302	高尾	停留場	高　尾	たかお	タカオ	Takao	高尾	高尾	다카오	神戸市北須磨区高尾台３丁目	F42	TRUE	FALSE	1番線,2番線
0310	白川	停車場	白　川	しらかわ	シラカワ	Shirakawa	白川	白川	시라카와	神戸市北須磨区白川町	F43	TRUE	TRUE	1番線,2番線,3番線
0311	複産団地	停留場	複産団	ふくさんだんち	フクサンダンチ	Fukusan-danchi	复产团地	複產團地	후쿠산단지	神戸市西神区見津ヶ丘４丁目	F44	TRUE	FALSE	1番線,2番線
0312	木見	停留場	木　見	こうみ	コウミ	Komi	木见	木見	고미	神戸市西神区押部谷町木見	F45	TRUE	FALSE	1番線,2番線
0313	木幡	停留場	木　幡	こばた	コバタ	Kobata	木幡	木幡	고바타	神戸市西神区押部谷町木幡	F46	TRUE	FALSE	1番線,2番線
0314	栄	停留場	　栄　	さかえ	サカエ	Sakae	荣	榮	사카에	神戸市西神区押部谷町栄	F47	TRUE	FALSE	1番線,2番線
0315	押部谷	停車場	押部谷	おしべだに	オシベダニ	Oshibedani	押部谷	押部谷	오시베다니	神戸市西神区押部谷町押部	F48	TRUE	TRUE	1番線,2番線,3番線
0316	西盛	停留場	西　盛	にしもり	ニシモリ	Nishimori	西盛	西盛	니시모리	神戸市西神区押部谷町西盛	F49	TRUE	FALSE	1番線,2番線
0317	広野	停留場	広　野	ひろの	ヒロノ	Hirono	旷野	曠野	히로노	三木市志染町広野５丁目	F50	TRUE	FALSE	1番線,2番線
0318	志染	停留場	志　染	しじみ	シジミ	Shijimi	志染	志染	시지미	三木市志染町広野１丁目	F51	TRUE	FALSE	1番線,2番線
0320	宿原	停車場	宿　原	しゅくはら	シュクハラ	Shukuhara	宿原	宿原	슈쿠하라	三木市君が峰町	F52,N52	TRUE	TRUE	1番線,2番線,3番線,4番線,引上5番線
0321	三木本町	停留場	三木本	みきほんまち	ミキホンマチ	Miki-hommachi	三木本町	三木本町	미키혼마지	三木市本町１丁目	F53	TRUE	FALSE	1番線,2番線
0330	三木	停車場	三　木	みき	ミキ	Miki	三木	三木	미키	三木市末広２丁目	F54	TRUE	TRUE	1番線,2番線,3番線
0331	大村	停留場	大　村	おおむら	オオムラ	Omura	大村	大村	오무라	三木市大村	F55	TRUE	FALSE	1番線,2番線
0332	樫山	停留場	樫　山	かしやま	カシヤマ	Kashiyama	㭴山	樫山	가시야마	小野市樫山町	F56	TRUE	FALSE	1番線,2番線
0333	市場	停留場	市　場	いちば	イチバ	Ichiba	市场	市場	이지바	小野市市場町	F57	TRUE	FALSE	1番線,2番線
0334	垂井	停留場	垂　井	たるい	タルイ	Tarui	垂井	垂井	다루이	小野市垂井町	F58	TRUE	FALSE	1番線,2番線
0335	小野	停車場	小　野	おの	オノ	Ono	小野	小野	오노	小野市西本町	F59	TRUE	TRUE	1番線,2番線,3番線
0336	王子	停留場	王　子	おうじ	オウジ	Oji	王子	王子	오지	小野市王寺町	F60	TRUE	FALSE	1番線,2番線
0337	敷地	停留場	敷　地	しきじ	シキジ	Shikiji	敷地	敷地	시키지	小野市敷地町	F61	TRUE	FALSE	1番線,2番線
0338	鹿野	停留場	鹿　野	かの	カノ	Kano	鹿野	鹿野	가노	小野市鹿野町	F62	TRUE	FALSE	1番線,2番線
0340	高田	停車場	高　田	たかた	タカタ	Takata	高田	高田	다카타	小野市高田町	F63	TRUE	TRUE	1番線,2番線,3番線
0341	河合	停留場	河　合	かわい	カワイ	Kawai	河合	河合	가와이	小野市新部町	F64	TRUE	FALSE	1番線
0342	播州中野	停留場	播中野	ばんしゅうなかの	バンシュウナカノ	Banshu-Nakano	播州中野	播州中野	반슈나카노	加西市中野町	F65	TRUE	FALSE	1番線
0343	鶉野	停車場	鶉　野	うずらの	ウズラノ	Uzurano	鹑野	鶉野	우즈라노	加西市鶉野町	F66	TRUE	TRUE	1番線,2番線,3番線
0344	牛居	停留場	牛　居	うしい	ウシイ	Ushii	牛居	牛居	우시	加西市琵琶甲町	F67	TRUE	FALSE	1番線
0345	鎮岩	停留場	鎮　岩	とこなべ	トコナベ	Tokonabe	镇岩	鎮岩	도코나베	加西市鎮岩町	F68	TRUE	FALSE	1番線
0346	高室	停留場	高　室	たかむろ	タカムロ	Takamuro	高室	高室	다카무로	加西市北条町西高室	F69	TRUE	FALSE	1番線
0347	北条口	停留場	北条口	ほうじょうぐち	ホウジョウグチ	Hojo-guchi	北条口	北條口	호조구지	加西市北条町北条	F70	TRUE	FALSE	1番線
0350	北条	停車場	北　条	ほうじょう	ホウジョウ	Hojo	北条	北條	호조	加西市北条町北条	F71	TRUE	TRUE	1番線,2番線,3番線
0351	正楽寺	停留場	正楽寺	しょうらくじ	ショウラクジ	Shorakuji	正乐寺	正樂寺	쇼라쿠지	加西市西谷町	F72	TRUE	FALSE	1番線
0352	畑	停留場	　畑　	はた	ハタ	Hata	畑	畑	하타	加西市畑町	F73	TRUE	FALSE	1番線
0353	大貫	停留場	大　貫	おおぬき	オオヌキ	Onuki	大贯	大貫	오누키	神崎郡福崎町大貫	F74	TRUE	FALSE	1番線
0354	田原	停留場	田　原	たわら	タワラ	Tawara	田原	田原	다와라	神崎郡福崎町東田原	F75	TRUE	FALSE	1番線
0355	福崎本町	停留場	福崎本	ふくさきほんまち	フクサキホンマチ	Fukusaki-hommachi	福崎本町	福崎本町	후쿠사키혼마지	神崎郡福崎町福崎新	F76	TRUE	FALSE	1番線
0360	福崎	停車場	福　崎	ふくさき	フクサキ	Fukusaki	福崎	福崎	후쿠사키	神崎郡福崎町福田	F77	TRUE	TRUE	1番線,2番線,3番線
0361	布施畑	停留場	布施畑	ふせはた	フセハタ	Fusehata	布施畑	布施畑	후세하타	神戸市西神区伊川谷町布施畑	F98	TRUE	FALSE	1番線
0370	太山寺	停車場	太山寺	たいさんじ	タイサンジ	Taisanji	太山寺	太山寺	다이산지	神戸市西神区伊川谷町前開	F99	TRUE	TRUE	1番線,2番線
0371	古瀬	停留場	古　瀬	こせ	コセ	Kose	古濑	古瀨	고세	加東市西古瀬	F91	TRUE	FALSE	1番線
0372	大門	停留場	大　門	だいもん	ダイモン	Daimon	大门	大門	다이몬	加東市大門	F92	TRUE	FALSE	1番線
0373	出水	停留場	出　水	いずみ	イズミ	Izumi	出水	出水	이즈미	加東市福吉	F93	TRUE	FALSE	1番線
0380	社	停車場	　社　	やしろ	ヤシロ	Yashiro	社	社	야시로	加東市社	F94	TRUE	TRUE	1番線,2番線
0381	上中	停留場	上　中	かみなか	カミナカ	Kaminaka	上中	上中	가미나카	加東市上中３丁目	F95	TRUE	FALSE	1番線
0382	北野	停留場	北　野	きたの	キタノ	Kitano	北野	北野	기타노	加東市北野	F96	TRUE	FALSE	1番線
0390	滝野	停車場	滝　野	たきの	タキノ	Takino	泷野	瀧野	다키노	加東市新町	F97	TRUE	TRUE	1番線
0471	和坂	停留場	和　坂	かにがさか	ニシオオシマ	Kanigasaka	和坂	和坂	가니가사카	明石市和坂稲荷町	F25	TRUE	FALSE	1番線,2番線
0472	吉田	停留場	吉　田	よしだ	モリベ	Yoshida	吉田	吉田	요시다	神戸市西神区枝吉４丁目	F26	TRUE	FALSE	1番線,2番線
0473	出合	停留場	出　合	であい	ムコ	Deai	出合	出合	데아이	神戸市西神区玉津町出合	F27	TRUE	FALSE	1番線,2番線
0480	玉津	停車場	玉　津	たまつ	トキトモ	Tamatsu	玉津	玉津	다마쑤	神戸市西神区玉津町小山	F28	TRUE	TRUE	1番線,2番線
0481	芝崎	停留場	芝　崎	しばさき	コヤ	Shibasaki	芝崎	芝崎	시바사키	神戸市西神区平野町芝崎	F29	TRUE	FALSE	1番線,2番線
0482	平野	停車場	平　野	ひらの	トリシマ	Hirano	平野	平野	히라노	神戸市西神区平野町宮前	F30	TRUE	TRUE	1番線,2番線
0483	岩岡口	停留場	岩岡口	いわおかぐち	コハマ	Iwaoka-guchi	岩冈口	岩岡口	이와오카구지	神戸市西神区平野町印路	F31	TRUE	FALSE	1番線,2番線
0484	宝勢	停留場	宝　勢	ほうせい	カゲキジョウマエ	Hosei	宝势	寶勢	호세	神戸市西神区神出町宝勢	F32	TRUE	FALSE	1番線,2番線
0485	神出	停車場	神　出	かんで	タカラヅカ	Kande	神出	神出	간데	神戸市西神区神出町田井	F33	TRUE	TRUE	1番線,2番線
0486	雌岡山口	停留場	雌岡山	めっこうさんぐち	ナマゼ	Mekkosan-guchi	雌冈山口	雌岡山口	멧코산구지	神戸市西神区神出町東	F34	TRUE	FALSE	1番線,2番線
0487	広谷	停留場	広　谷	ひろたに	キノモト	Hirotani	广谷	廣谷	히로타니	神戸市西神区神出町小束野	F35	TRUE	FALSE	1番線,2番線
0488	興治	停留場	興　治	おさはる	ナジオ	Osaharu	兴治	興治	오사하루	三木市別所町興治	F36	TRUE	FALSE	1番線,2番線
0489	這田	停留場	這　田	ほうだ	トウクボ	Hoda	这田	這田	호다	三木市別所町東	F37	TRUE	FALSE	1番線,2番線
